device_id,type,location_general,location_specific,description,fields,pixel_coordinate,notes
70886b125d88,Awair Element,UVA,203 Olsson,North wall near TV,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","403,39",
70886b122593,Awair Omni,UVA,204 Olsson,,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","170,318",
70886b123c0b,Awair Omni,UVA,C210 Olsson,Elevator Area,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","575,282",
70886b12335b,Awair Omni,UVA,C211 Olsson,Work cubby,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","412,282",
70886b126a0e,Awair Omni,UVA,211 Olsson,Whiteboard,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","12,134",
70886b1234a0,Awair Omni,UVA,211 Olsson,Wall 1,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","581,188",
70886b123735,Awair Omni,UVA,211 Olsson,Table 1,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","618,175",
70886b1238b5,Awair Omni,UVA,211 Olsson,TV 2,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","709,204",
70886b12395b,Awair Omni,UVA,211 Olsson,TV 3,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","709,204",
70886b123962,Awair Omni,UVA,211 Olsson,Table 3,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","647,175",
70886b123992,Awair Omni,UVA,211 Olsson,Entrance 1,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","623,220",
70886b123b81,Awair Omni,UVA,211 Olsson,Back Wall,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","692,124",
70886b123b83,Awair Omni,UVA,211 Olsson,Table 2,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","673,175",
70886b1275bc,Awair Omni,UVA,211 Olsson,Wall 3,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","692,124",
70886b127639,Awair Omni,UVA,211 Olsson,TV 4,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","709,146",
70886b127730,Awair Omni,UVA,211 Olsson,TV 1,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","709,146",
70886b12778c,Awair Omni,UVA,211 Olsson,Wall 4,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","581,146",
70886b1268c6,Awair Omni,UVA,211 Olsson,Entrance 2,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","581,214",
70886b126a04,Awair Omni,UVA,211 Olsson,Wall 6,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","581,188",
70886b125d64,Awair Omni,UVA,C211 Olsson,Last cubby across from 225,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","984,274",
70886b123507,Awair Omni,UVA,217 Olsson,,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","863,157",
70886b123a60,Awair Omni,UVA,218 Olsson,On wall in printer room,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","897,260",
70886b12532b,Awair Omni,UVA,221 Olsson,NE 8,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","701,89",
70886b12349c,Awair Omni,UVA,221 Olsson,NE 11,"Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb","788,44",
